way_id,point_index,lat,lon
23315107,0,50.1076126,14.4176767
23315107,1,50.1074208,14.4185295
23315107,2,50.1073728,14.4190613
23315107,3,50.1073433,14.4195507
23315107,4,50.1073301,14.4198966
23315107,5,50.1073236,14.4202385
23315107,6,50.1073259,14.4204302
23315107,7,50.1073309,14.4206257
23315107,8,50.1073393,14.4207968
23315107,9,50.1073531,14.4209289
23315107,10,50.1073747,14.4211043
23315107,11,50.1074236,14.4215341
23315107,12,50.1074404,14.4216336
23315115,0,50.1067971,14.4164565
23315115,1,50.1069179,14.4165048
23315115,2,50.1070074,14.4165586
23315115,3,50.1071084,14.4166468
23315115,4,50.107251,14.4168039
23315115,5,50.1075386,14.4173837
23315115,6,50.107595,14.4175172
23315115,7,50.1075886,14.4175842
23315115,8,50.1076126,14.4176767
23315134,0,50.1059956,14.4230498
23315134,1,50.1058723,14.4231218
23315134,2,50.1058442,14.4231673
23315134,3,50.1057773,14.423717
23315134,4,50.1056759,14.4244998
23315134,5,50.1055629,14.4253183
23315134,6,50.1055177,14.4257104
23315134,7,50.1054534,14.4262674
23315134,8,50.1052359,14.427063
23315134,9,50.1051813,14.427199
23315134,10,50.1051273,14.4274079
23315134,11,50.1051376,14.4276708
23315134,12,50.1051469,14.4277968
23315134,13,50.1051529,14.4279333
23315134,14,50.105156,14.4280044
25303588,0,50.110745,14.4193763
25303588,1,50.110557,14.41916
25303588,2,50.1105292,14.4185219
25303588,3,50.1105108,14.4180982
25303588,4,50.1104602,14.4179858
25303589,0,50.1054987,14.421151
25303589,1,50.10543,14.42119
25303589,2,50.1053712,14.4212167
25303589,3,50.1052681,14.4213775
25303589,4,50.1051726,14.4215519
25303590,0,50.1049944,14.4269229
25303590,1,50.1049454,14.4271337
25303590,2,50.1047674,14.4277176
25303590,3,50.1046573,14.4280387
25303590,4,50.1042986,14.4291699
25303590,5,50.1042248,14.4294504
25303590,6,50.1041576,14.4297917
25303590,7,50.1041051,14.4302668
25303590,8,50.1040858,14.4305922
25303590,9,50.1040403,14.4308411
25303590,10,50.1040554,14.430987
25303590,11,50.1040648,14.4311268
25303590,12,50.1040836,14.4311692
25303590,13,50.1041057,14.4311948
25303590,14,50.1040801,14.4313468
25400095,0,50.1068641,14.4067231
25400095,1,50.1069437,14.4066779
25400095,2,50.1070201,14.4066721
25400095,3,50.1074572,14.4066387
25400095,4,50.1075722,14.4066113
25400095,5,50.1076862,14.4065648
25400095,6,50.1078879,14.4063884
25400095,7,50.1079236,14.4063582
25400096,0,50.105436,14.4208989
25400096,1,50.1054987,14.421151
25400096,2,50.1059956,14.4230498
25400097,0,50.1056579,14.4179872
25400097,1,50.1059833,14.4186677
25400097,2,50.1060573,14.4188827
25400097,3,50.1061032,14.4191048
25400097,4,50.106127,14.419258
25400097,5,50.1061381,14.419467
25400098,0,50.1067971,14.4164565
25400098,1,50.1066047,14.4164336
25400098,2,50.1064172,14.4164845
25400098,3,50.1063306,14.4165414
25400098,4,50.106125,14.4166765
25400100,0,50.1067935,14.4184728
25400100,1,50.1067099,14.4184654
25400100,2,50.1065414,14.4184088
25400100,3,50.1064924,14.4183847
25400101,0,50.1083502,14.4185608
25400101,1,50.1082958,14.4185643
25400101,2,50.1074208,14.4185295
25400101,3,50.1071253,14.4185005
25400103,0,50.1059923,14.4068086
25400103,1,50.1062154,14.4067113
25400103,2,50.1063817,14.4066777
25400103,3,50.1065049,14.4066529
25400103,4,50.1067096,14.4066495
25400104,0,50.1050652,14.4096155
25400104,1,50.1049841,14.4096339
25400104,2,50.1048901,14.4096916
25400104,3,50.1047271,14.4096802
25400104,4,50.1045682,14.409717
25400104,5,50.1044852,14.409649
25400105,0,50.1053079,14.4104397
25400105,1,50.1052523,14.410576
25400105,2,50.1051945,14.4108682
25400105,3,50.1051873,14.4110672
25400105,4,50.1052131,14.411234
25400105,5,50.1052755,14.4114429
25400105,6,50.1053545,14.411652
25400105,7,50.1054606,14.4119481
25400105,8,50.1055246,14.4121205
